interval_from,interval_to,LST_B0_min,LST_B0_max,LST_B0_mean,LST_B0_stDev,LST_B0_sampleCount,LST_B0_noDataCount,poly_id,landcover,elv
2024-09-18,2024-09-19,297.3599853515625,297.3599853515625,297.3599853515625,0.0,65536,422,2,10.0,56.3132438659668
2024-09-19,2024-09-20,295.8500061035156,295.8500061035156,295.8500061035156,0.0,65536,422,2,10.0,56.3132438659668
2024-09-21,2024-09-22,289.29998779296875,289.29998779296875,289.29998779296875,0.0,65536,422,2,10.0,56.3132438659668
2024-09-23,2024-09-24,295.2300109863281,295.2300109863281,295.2300109863281,0.0,65536,422,2,10.0,56.3132438659668
2024-09-25,2024-09-26,283.0899963378906,283.0899963378906,283.0899963378906,0.0,65536,422,2,10.0,56.3132438659668
2024-09-26,2024-09-27,290.57000732421875,290.57000732421875,290.57000732421875,0.0,65536,422,2,10.0,56.3132438659668
2024-09-28,2024-09-29,290.9100036621094,290.9100036621094,290.9100036621094,0.0,65536,422,2,10.0,56.3132438659668
2024-09-30,2024-10-01,291.6199951171875,291.6199951171875,291.6199951171875,0.0,65536,422,2,10.0,56.3132438659668
2024-10-02,2024-10-03,284.1300048828125,284.1300048828125,284.1300048828125,0.0,65536,422,2,10.0,56.3132438659668
2024-10-03,2024-10-04,293.1499938964844,293.1499938964844,293.1499938964844,0.0,65536,422,2,10.0,56.3132438659668
2024-10-04,2024-10-05,294.79998779296875,294.79998779296875,294.79998779296875,0.0,65536,422,2,10.0,56.3132438659668
2024-10-05,2024-10-06,296.1000061035156,296.1000061035156,296.1000061035156,0.0,65536,422,2,10.0,56.3132438659668
2024-10-07,2024-10-08,290.9800109863281,290.9800109863281,290.9800109863281,0.0,65536,422,2,10.0,56.3132438659668
2024-10-09,2024-10-10,290.30999755859375,290.30999755859375,290.30999755859375,0.0,65536,422,2,10.0,56.3132438659668
2024-10-11,2024-10-12,296.1199951171875,296.1199951171875,296.1199951171875,0.0,65536,422,2,10.0,56.3132438659668
2024-10-12,2024-10-13,291.20001220703125,291.20001220703125,291.20001220703125,0.0,65536,422,2,10.0,56.3132438659668
2024-10-14,2024-10-15,295.8999938964844,295.8999938964844,295.8999938964844,0.0,65536,422,2,10.0,56.3132438659668
2024-10-16,2024-10-17,293.79998779296875,293.79998779296875,293.79998779296875,0.0,65536,422,2,10.0,56.3132438659668
2024-10-18,2024-10-19,294.29998779296875,294.29998779296875,294.29998779296875,0.0,65536,422,2,10.0,56.3132438659668
2024-10-19,2024-10-20,294.82000732421875,294.82000732421875,294.82000732421875,0.0,65536,422,2,10.0,56.3132438659668
