"location","year_month","month_min"
"Greg_gund",2020-10-01,19.3
"Greg_gund",2020-11-01,19.4
"Greg_gund",2020-12-01,21
"Greg_gund",2021-01-01,20.7
"Greg_gund",2021-02-01,21.3
"Greg_gund",2021-03-01,21.8
"Greg_gund",2021-04-01,21
"Greg_gund",2021-05-01,20
"Greg_gund",2021-06-01,18.2
"Greg_gund",2021-07-01,18.6
"Greg_gund",2021-08-01,18.1
"Greg_gund",2021-09-01,18.5
"Greg_gund",2021-10-01,18.5
"Greg_gund",2021-11-01,17.9
"Greg_gund",2021-12-01,17.8
"Greg_gund",2022-01-01,19.8
"Greg_gund",2022-02-01,19.6
"Greg_gund",2022-03-01,20.6
"Greg_gund",2022-04-01,19.2
"Greg_gund",2022-05-01,17.9
"Greg_gund",2022-06-01,17.5
"Greg_gund",2022-07-01,18.2
"Greg_gund",2022-08-01,18.4
"Greg_gund",2022-09-01,18.9
"Greg_gund",2022-10-01,18.2
"Greg_gund",2022-11-01,19.2
"Greg_gund",2022-12-01,20.7
"Greg_gund",2023-01-01,21.2
"Greg_gund",2023-02-01,21.4
"Greg_gund",2023-03-01,20.9
"Greg_gund",2023-04-01,21
"Greg_gund",2023-05-01,21.3
"Greg_gund",2023-06-01,20.3
"Greg_gund",2023-07-01,20.8
"Greg_gund",2023-08-01,19.3
"Greg_gund",2023-09-01,20.2
"Greg_gund",2023-10-01,19.5
"Greg_gund",2023-11-01,18.6
"Greg_gund",2023-12-01,20.5
"Greg_gund",2024-01-01,21.2
"Greg_gund",2024-02-01,21.2
"Greg_gund",2024-03-01,21.7
"Greg_gund",2024-04-01,19.8
"Greg_gund",2024-05-01,20
"Greg_gund",2024-06-01,18.5
"Greg_gund",2024-07-01,19
"Greg_gund",2024-08-01,18.8
"Las_Brisas",1997-01-01,13.8
"Las_Brisas",1997-02-01,14.65
"Las_Brisas",1997-03-01,15.06
"Las_Brisas",1997-04-01,14.94
"Las_Brisas",1997-05-01,16.29
"Las_Brisas",1997-06-01,15.42
"Las_Brisas",1997-07-01,16.44
"Las_Brisas",1997-08-01,16.8
"Las_Brisas",1997-09-01,16.21
"Las_Brisas",1997-10-01,16.18
"Las_Brisas",1997-11-01,15.69
"Las_Brisas",1997-12-01,14.56
"Las_Brisas",1998-01-01,14.94
"Las_Brisas",1998-02-01,16.55
"Las_Brisas",1998-03-01,16.23
"Las_Brisas",1998-04-01,16.87
"Las_Brisas",1998-05-01,16.53
"Las_Brisas",1998-06-01,16
"Las_Brisas",1998-07-01,15.93
"Las_Brisas",1998-08-01,15.91
"Las_Brisas",1998-09-01,15.78
"Las_Brisas",1998-10-01,15.88
"Las_Brisas",1998-11-01,15.01
"Las_Brisas",1998-12-01,15.14
"Las_Brisas",1999-01-01,13.41
"Las_Brisas",1999-02-01,13.85
"Las_Brisas",1999-03-01,14.48
"Las_Brisas",1999-04-01,14.88
"Las_Brisas",1999-05-01,15.77
"Las_Brisas",1999-06-01,15.31
"Las_Brisas",1999-07-01,15.24
"Las_Brisas",1999-08-01,14.74
