interval_from,interval_to,LST,land_type,Id,land_type_label
2023-01-21,2023-01-22,300.8699951171875,10,Site-008,forest
2023-01-23,2023-01-24,298.04998779296875,10,Site-008,forest
2023-01-24,2023-01-25,301.3099975585937,10,Site-008,forest
2023-01-25,2023-01-26,301.8999938964844,10,Site-008,forest
2023-01-26,2023-01-27,302.260009765625,10,Site-008,forest
2023-01-28,2023-01-29,303.0299987792969,10,Site-008,forest
2023-01-30,2023-01-31,303.1199951171875,10,Site-008,forest
2023-02-01,2023-02-02,301.9599914550781,10,Site-008,forest
2023-02-02,2023-02-03,300.9599914550781,10,Site-008,forest
2023-02-04,2023-02-05,302.489990234375,10,Site-008,forest
2023-02-06,2023-02-07,303.1099853515625,10,Site-008,forest
2023-02-08,2023-02-09,303.7300109863281,10,Site-008,forest
2023-02-09,2023-02-10,301.6300048828125,10,Site-008,forest
2023-02-10,2023-02-11,302.9599914550781,10,Site-008,forest
2023-02-11,2023-02-12,302.260009765625,10,Site-008,forest
2023-02-13,2023-02-14,303.7300109863281,10,Site-008,forest
2023-02-15,2023-02-16,304.6400146484375,10,Site-008,forest
2023-02-17,2023-02-18,301.8099975585937,10,Site-008,forest
2023-02-18,2023-02-19,301.5599975585937,10,Site-008,forest
2023-02-20,2023-02-21,302.8099975585937,10,Site-008,forest
2023-02-22,2023-02-23,303.92999267578125,10,Site-008,forest
2023-02-24,2023-02-25,303.8900146484375,10,Site-008,forest
2023-02-25,2023-02-26,301.3999938964844,10,Site-008,forest
2023-02-26,2023-02-27,303.67999267578125,10,Site-008,forest
